,countries,best_err,best_length,crps,best_seed,best_model
0,United Kingdom,222.86816376544078,411.4519503884022,0.2824108695652174,11,8
1,Italy,57.25707954011294,593.0944172402512,0.11749782608695654,2,2
2,Germany,44.797853300651035,209.96123877671354,0.20362826086956523,10,7
3,Spain,85.77005620964029,374.7102891047888,0.16958478260869567,3,3
4,US,492.3556528165479,1659.8769715759113,0.20338188405797103,2,2
5,France,104.55430028094777,400.5612005020694,0.19236739130434782,10,7
6,Belgium,177.00797276760764,478.51763807014794,0.27672971014492753,10,7
8,Brazil,217.8800603078587,814.7420702124479,0.19430942028985504,11,8
10,Netherlands,31.677567702573608,55.83960747538387,0.2746572463768116,13,9
14,Portugal,2.6767477830282638,11.4104111567011,0.1663528985507247,2,2
15,Sweden,33.683690362737835,94.13127287424446,0.21745434782608694,3,3
16,Switzerland,10.176956046709645,24.510973068759036,0.2439760869565217,13,9
19,Denmark,3.7385950085898414,6.23814653242017,0.24570072463768114,2,2
20,Austria,4.095749495915709,4.97330496774887,0.28991811594202893,10,7
