,country,err7,err14
0,United Kingdom,226.17564933005633,1755.050294251254
1,Italy,608.4147404427567,1999.298770885518
2,Germany,309.87119862322834,918.9239435471682
3,Spain,567.9604530538709,575.1054137681713
4,France,1421.2022856087387,5246.376216470242
5,"Korea, South",7.135956210389736,23.515635181064
6,Brazil,454.25722665555986,3010.7554428765725
7,Iran,1.7289068583068001,-93.47032360238063
8,Netherlands,256.0467592141522,850.3842900945656
9,Sweden,-23.916604651872603,-300.63241328426284
10,Mexico,-98.86457227222445,-435.21074923568085
11,India,-18.35110559043369,-240.69482569281217
12,Russia,-30.502539907767186,228.74200054782386
13,Japan,38.18328371102098,91.63321711396452
14,South Africa,-4.198434198748146,-36.13453398258574
15,Egypt,-6.309719328875076,25.47670340384775
16,Norway,12.039745798649733,45.07933202468337
